INF | 2025-10-10 19:59:19.465 [libtrx/game/shell/main.c:26:SDL_main] Starting TR2X 1.5
INF | 2025-10-10 19:59:19.466 [game/shell/common.c:84:Shell_Main] Game directory: C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\
INF | 2025-10-10 19:59:19.670 [libtrx/game/input/backends/controller.c:332:M_FindController] 0 controllers
DBG | 2025-10-10 19:59:19.670 [libtrx/game/random.c:21:Random_SeedControl] 70699
DBG | 2025-10-10 19:59:19.670 [libtrx/game/random.c:33:Random_SeedDraw] 68619
DBG | 2025-10-10 19:59:19.671 [libtrx/config/common.c:58:Config_Read] Reading config
DBG | 2025-10-10 19:59:19.671 [libtrx/config/common.c:59:Config_Read]   default_path=cfg/TR2X.json5
DBG | 2025-10-10 19:59:19.671 [libtrx/config/common.c:60:Config_Read]   enforced_path=cfg/tr2/gameflow.json5
DBG | 2025-10-10 19:59:19.672 [libtrx/config/common.c:80:Config_Read] Config loaded
INF | 2025-10-10 19:59:19.719 [libtrx/game/music/common.c:125:Music_Init] Chosen music backend: Directory (directory: music)
INF | 2025-10-10 19:59:20.142 [libtrx/gfx/context.c:84:GFX_Context_Attach] Attaching to window 00a28e70
INF | 2025-10-10 19:59:20.152 [libtrx/gfx/context.c:113:GFX_Context_Attach] OpenGL vendor string:   NVIDIA Corporation
INF | 2025-10-10 19:59:20.152 [libtrx/gfx/context.c:114:GFX_Context_Attach] OpenGL renderer string: GeForce GTX 775M/PCIe/SSE2
INF | 2025-10-10 19:59:20.152 [libtrx/gfx/context.c:115:GFX_Context_Attach] OpenGL version string:  3.3.0 NVIDIA 353.24
INF | 2025-10-10 19:59:20.152 [libtrx/gfx/context.c:119:GFX_Context_Attach] Shading version string: 3.30 NVIDIA via Cg compiler
INF | 2025-10-10 19:59:20.162 [libtrx/gfx/gl/program.c:181:GFX_GL_Program_UniformLocation] Shader uniform not found: uTime
INF | 2025-10-10 19:59:20.162 [libtrx/gfx/gl/program.c:181:GFX_GL_Program_UniformLocation] Shader uniform not found: uSmoothingEnabled
INF | 2025-10-10 19:59:20.162 [libtrx/gfx/2d/2d_renderer.c:114:GFX_2D_Renderer_Create] 
INF | 2025-10-10 19:59:20.163 [libtrx/gfx/gl/program.c:181:GFX_GL_Program_UniformLocation] Shader uniform not found: uTimeInGame
DBG | 2025-10-10 19:59:20.165 [libtrx/game/shell/config.c:34:Shell_SyncToWindow] is_fullscreen=0 is_maximized=1 x=-1 y=-1 width=1280 height=720
DBG | 2025-10-10 19:59:20.203 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/base_strings.json5
DBG | 2025-10-10 19:59:20.203 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-10 19:59:20.204 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #0
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #0
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #1
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #1
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #2
INF | 2025-10-10 19:59:20.204 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #2
